2023-12-07 09:13:47 : begin
2023-12-07 09:13:48 : DUT1 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:49 : DUT2 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:51 : DUT:1 ctrl : sw:"V23.11.01 (0010)" serial:203 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:13:51 : DUT:1 ctrl2: sw:"N/A" serial:0 hw: "N/A"
2023-12-07 09:13:59 : DUT:1 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:03 : DUT:1 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:04 : DUT:1 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:09 : DUT:1 slot: c  FT1        ver:" (mismatch)(card type)"
2023-12-07 09:14:14 : DUT:2 ctrl : sw:"V23.11.01 (0010)" serial:478 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:14:14 : DUT:2 ctrl2: sw:"V23.11.01 (0010)" serial:476 hw: "Ver.C"
2023-12-07 09:14:21 : DUT:2 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:24 : DUT:2 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:26 : DUT:2 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:32 : DUT:2 slot: b  FE1        ver:"V4.03.04 (0010), HW: G, FPGA: 09"
2023-12-07 09:19:37 : DUT 1 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:19:49 : DUT 2 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:22:35 : DUT 1 (AM3440_CCPA_Get_dpllStabdbyStatus_log)  InputStatus:Ooflos LockStatus:Unlock CalStatus:Normal InputSticky:Oof LockSticky:Lock CalSticky:Normal
2023-12-07 09:25:13 : DUT 2 (AM3440_CCPA_Get_dpllStabdbyStatus_log)  InputStatus:Normal LockStatus:Lock CalStatus:Normal InputSticky:Oof LockSticky:Lock CalSticky:Normal
2023-12-07 09:26:28 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=32 RBitCnt=0 TxGood=15612 RxGood=15612 RxLost=0 Link=up SizeErr=no
2023-12-07 09:26:36 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3340 RxGood=3340 RxLost=0 Link=up SizeErr=no
2023-12-07 09:26:43 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3141 RxGood=3141 RxLost=0 Link=up SizeErr=no
2023-12-07 09:26:51 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3437 RxGood=3437 RxLost=0 Link=up SizeErr=no
2023-12-07 09:26:58 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3178 RxGood=3178 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:06 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3436 RxGood=3436 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:13 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3201 RxGood=3201 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:20 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3040 RxGood=3040 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:28 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3324 RxGood=3324 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:35 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=3119 RxGood=3119 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:43 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=3364 RxGood=3364 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:45 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.6 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4364 RxLost=0 Link=up SizeErr=no
2023-12-07 09:27:52 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3145 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:00 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3460 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:07 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3242 RxLost=0 Link=up SizeErr=no
